N_iter,N_mc,Toler,Tiempo ejecucion,Primer minimo,Î” True Min
100,50,0.1,0.3321,2.9133,1.7908
100,50,0.05,0.4027,2.7474,1.6248999999999998
100,50,0.01,0.3761,2.8669,1.7443999999999997
100,50,0.0001,0.398,2.8443,1.7218
100,100,0.1,0.8648,2.7528,1.6303
100,100,0.05,0.6883,2.9667,1.8441999999999998
100,100,0.01,0.7973,2.7162,1.5937000000000001
100,100,0.0001,0.7437,2.8269,1.7044000000000001
100,150,0.1,1.2516,2.6454,1.5229
100,150,0.05,1.3334,2.9453,1.8228
100,150,0.01,1.2563,2.6529,1.5303999999999998
100,150,0.0001,1.283,2.7307,1.6082
100,200,0.1,1.7688,2.8252,1.7027
100,200,0.05,1.8786,2.7493,1.6267999999999998
100,200,0.01,1.8014,2.6562,1.5337
100,200,0.0001,1.7501,2.8013,1.6787999999999998
500,50,0.1,0.4911,2.9918,1.8693
500,50,0.05,0.4889,2.7279,1.6054
500,50,0.01,0.4166,2.9511,1.8285999999999998
500,50,0.0001,0.4589,2.6256,1.5030999999999999
500,100,0.1,0.918,2.9986,1.8761
500,100,0.05,1.5155,2.6575,1.5350000000000001
500,100,0.01,1.4781,2.8055,1.6829999999999998
500,100,0.0001,2.2913,2.6714,1.5489000000000002
500,150,0.1,4.9366,2.9941,1.8716
500,150,0.05,3.9809,2.7113,1.5888
500,150,0.01,3.5929,2.7339,1.6114000000000002
500,150,0.0001,3.3309,2.632,1.5095
500,200,0.1,3.6048,2.6955,1.573
500,200,0.05,3.8819,2.6492,1.5267
500,200,0.01,2.7767,2.69,1.5675
500,200,0.0001,2.1599,2.7191,1.5966
1000,50,0.1,0.5609,2.7028,1.5802999999999998
1000,50,0.05,0.8692,2.8298,1.7073
1000,50,0.01,0.8544,2.9068,1.7843
1000,50,0.0001,0.929,2.9117,1.7892000000000001
1000,100,0.1,1.5029,2.6585,1.536
1000,100,0.05,1.2408,2.7028,1.5802999999999998
1000,100,0.01,1.1393,2.6264,1.5038999999999998
1000,100,0.0001,1.0797,2.9431,1.8205999999999998
1000,150,0.1,1.3736,2.9812,1.8586999999999998
1000,150,0.05,1.3154,2.6774,1.5549
1000,150,0.01,1.3243,2.9359,1.8134000000000001
1000,150,0.0001,1.4685,2.7331,1.6105999999999998
1000,200,0.1,2.1347,2.6349,1.5124
1000,200,0.05,2.5059,2.66,1.5375
1000,200,0.01,3.3403,2.8114,1.6888999999999998
1000,200,0.0001,2.5638,2.9771,1.8546
2000,50,0.1,0.5449,2.9741,1.8516
2000,50,0.05,0.6059,2.8881,1.7656
2000,50,0.01,0.447,2.7527,1.6301999999999999
2000,50,0.0001,0.4862,2.8436,1.7210999999999999
2000,100,0.1,0.9635,2.9782,1.8557000000000001
2000,100,0.05,0.8158,2.6464,1.5238999999999998
2000,100,0.01,0.8609,2.6892,1.5667
2000,100,0.0001,0.7791,2.8868,1.7643
2000,150,0.1,1.0899,2.9899,1.8674
2000,150,0.05,1.1127,2.815,1.6925
2000,150,0.01,0.9824,2.7183,1.5958
2000,150,0.0001,0.8975,2.7004,1.5779
2000,200,0.1,1.2537,2.7022,1.5796999999999999
2000,200,0.05,1.2185,2.9258,1.8033000000000001
2000,200,0.01,1.1168,2.7592,1.6366999999999998
2000,200,0.0001,1.1538,2.7767,1.6542
