N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
2,0.5,0.5,2,50,0.05,0.5,22.4645,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.5,0.5,2,100,0.05,0.5,47.0457,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.5,0.5,3,50,0.05,0.5,23.9527,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.5,0.5,3,100,0.05,0.5,48.2147,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.5,0.5,4,50,0.05,0.5,11.9297,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.5,0.5,4,100,0.05,0.5,28.8787,1.0,2.6645352591003757e-15,-1.0999999999999992,0.0999999999999992
2,0.5,0.25,2,50,0.05,0.5,24.6757,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.5,0.25,2,100,0.05,0.5,42.4217,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.5,0.25,3,50,0.05,0.5,18.6187,-1.0,8.881784197001252e-16,-1.3999999999999995,0.39999999999999947
2,0.5,0.25,3,100,0.05,0.5,41.7327,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.5,0.25,4,50,0.05,0.5,12.7777,1.0,2.6645352591003757e-15,-1.0999999999999992,0.0999999999999992
2,0.5,0.25,4,100,0.05,0.5,22.7457,1.0,2.6645352591003757e-15,-1.1999999999999993,0.1999999999999993
2,0.5,0.1,2,50,0.05,0.5,18.2208,-1.1,0.0999999999999992,-1.0999999999999992,0.0999999999999992
2,0.5,0.1,2,100,0.05,0.5,35.8426,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.5,0.1,3,50,0.05,0.5,17.7797,-1.0,8.881784197001252e-16,0.5000000000000022,0.4999999999999978
2,0.5,0.1,3,100,0.05,0.5,37.9257,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
2,0.5,0.1,4,50,0.05,0.5,11.3107,0.8,0.1999999999999975,-0.899999999999999,0.10000000000000098
2,0.5,0.1,4,100,0.05,0.5,26.2017,-1.2,0.1999999999999993,0.7000000000000024,0.2999999999999976
2,0.5,0.05,2,50,0.05,0.5,14.7687,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.5,0.05,2,100,0.05,0.5,33.5967,-0.9,0.10000000000000098,0.30000000000000204,0.699999999999998
2,0.5,0.05,3,50,0.05,0.5,17.4348,-1.1,0.0999999999999992,-1.0999999999999992,0.0999999999999992
2,0.5,0.05,3,100,0.05,0.5,32.7976,-1.2,0.1999999999999993,-1.1999999999999993,0.1999999999999993
2,0.5,0.05,4,50,0.05,0.5,12.1207,-1.4,0.39999999999999947,0.10000000000000187,0.8999999999999981
2,0.5,0.05,4,100,0.05,0.5,27.4717,-1.5,0.49999999999999956,0.6000000000000023,0.3999999999999977
2,0.5,0.01,2,50,0.05,0.5,16.5907,-1.0,8.881784197001252e-16,-1.3999999999999995,0.39999999999999947
2,0.5,0.01,2,100,0.05,0.5,25.8517,-1.2,0.1999999999999993,1.7763568394002505e-15,0.9999999999999982
2,0.5,0.01,3,50,0.05,0.5,12.4817,-1.2,0.1999999999999993,-1.2999999999999994,0.2999999999999994
2,0.5,0.01,3,100,0.05,0.5,27.9187,0.5,0.4999999999999978,-0.5999999999999988,0.40000000000000124
2,0.5,0.01,4,50,0.05,0.5,15.9797,0.8,0.1999999999999975,-1.3999999999999995,0.39999999999999947
2,0.5,0.01,4,100,0.05,0.5,23.3277,0.1,0.8999999999999981,-1.0999999999999992,0.0999999999999992
2,0.3,0.5,2,50,0.05,0.5,14.3717,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.5,2,100,0.05,0.5,34.0537,-1.1,0.0999999999999992,0.9000000000000026,0.09999999999999742
2,0.3,0.5,3,50,0.05,0.5,22.1067,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.5,3,100,0.05,0.5,44.7747,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.3,0.5,4,50,0.05,0.5,27.3797,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.3,0.5,4,100,0.05,0.5,55.7447,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.25,2,50,0.05,0.5,15.9657,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.3,0.25,2,100,0.05,0.5,29.0987,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.3,0.25,3,50,0.05,0.5,20.3917,-1.0,8.881784197001252e-16,0.6000000000000023,0.3999999999999977
2,0.3,0.25,3,100,0.05,0.5,36.8667,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.3,0.25,4,50,0.05,0.5,22.6726,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.3,0.25,4,100,0.05,0.5,51.5168,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.1,2,50,0.05,0.5,15.5986,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.1,2,100,0.05,0.5,26.329,-1.2,0.1999999999999993,0.6000000000000023,0.3999999999999977
2,0.3,0.1,3,50,0.05,0.5,18.8314,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
2,0.3,0.1,3,100,0.05,0.5,35.8716,-1.1,0.0999999999999992,0.5000000000000022,0.4999999999999978
2,0.3,0.1,4,50,0.05,0.5,14.8307,-1.1,0.0999999999999992,1.7763568394002505e-15,0.9999999999999982
2,0.3,0.1,4,100,0.05,0.5,36.7657,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.3,0.05,2,50,0.05,0.5,12.0887,-0.9,0.10000000000000098,0.5000000000000022,0.4999999999999978
2,0.3,0.05,2,100,0.05,0.5,26.5317,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.05,3,50,0.05,0.5,14.9537,-1.1,0.0999999999999992,0.10000000000000187,0.8999999999999981
2,0.3,0.05,3,100,0.05,0.5,34.2017,-1.2,0.1999999999999993,0.6000000000000023,0.3999999999999977
2,0.3,0.05,4,50,0.05,0.5,18.0697,-1.2,0.1999999999999993,-1.1999999999999993,0.1999999999999993
2,0.3,0.05,4,100,0.05,0.5,36.8257,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.3,0.01,2,50,0.05,0.5,13.1147,0.2,0.799999999999998,-1.6999999999999997,0.6999999999999997
2,0.3,0.01,2,100,0.05,0.5,29.6046,-1.1,0.0999999999999992,-1.3999999999999995,0.39999999999999947
2,0.3,0.01,3,50,0.05,0.5,16.7787,-1.0,8.881784197001252e-16,-0.3999999999999986,0.6000000000000014
2,0.3,0.01,3,100,0.05,0.5,32.1267,-1.4,0.39999999999999947,-1.2999999999999994,0.2999999999999994
2,0.3,0.01,4,50,0.05,0.5,10.8017,0.2,0.799999999999998,-1.2999999999999994,0.2999999999999994
2,0.3,0.01,4,100,0.05,0.5,27.1067,0.5,0.4999999999999978,-1.3999999999999995,0.39999999999999947
2,0.1,0.5,2,50,0.05,0.5,13.4947,-1.2,0.1999999999999993,0.7000000000000024,0.2999999999999976
2,0.1,0.5,2,100,0.05,0.5,26.5227,-1.1,0.0999999999999992,0.6000000000000023,0.3999999999999977
2,0.1,0.5,3,50,0.05,0.5,12.3777,-1.1,0.0999999999999992,0.9000000000000026,0.09999999999999742
2,0.1,0.5,3,100,0.05,0.5,28.4887,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.1,0.5,4,50,0.05,0.5,15.0256,-1.1,0.0999999999999992,0.6000000000000023,0.3999999999999977
2,0.1,0.5,4,100,0.05,0.5,26.1497,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.1,0.25,2,50,0.05,0.5,12.9687,0.9,0.09999999999999742,0.30000000000000204,0.699999999999998
2,0.1,0.25,2,100,0.05,0.5,25.4837,-1.1,0.0999999999999992,0.9000000000000026,0.09999999999999742
2,0.1,0.25,3,50,0.05,0.5,11.9067,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.1,0.25,3,100,0.05,0.5,27.3568,-1.1,0.0999999999999992,0.6000000000000023,0.3999999999999977
2,0.1,0.25,4,50,0.05,0.5,11.4546,0.9,0.09999999999999742,-1.0999999999999992,0.0999999999999992
2,0.1,0.25,4,100,0.05,0.5,23.4016,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.1,0.1,2,50,0.05,0.5,12.5677,1.0,2.6645352591003757e-15,-1.2999999999999994,0.2999999999999994
2,0.1,0.1,2,100,0.05,0.5,22.1347,-1.2,0.1999999999999993,0.8000000000000025,0.1999999999999975
2,0.1,0.1,3,50,0.05,0.5,12.2477,-1.2,0.1999999999999993,0.20000000000000195,0.799999999999998
2,0.1,0.1,3,100,0.05,0.5,24.2287,-1.1,0.0999999999999992,0.6000000000000023,0.3999999999999977
2,0.1,0.1,4,50,0.05,0.5,11.0967,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.1,0.1,4,100,0.05,0.5,22.1373,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.1,0.05,2,50,0.05,0.5,11.707,-1.3,0.2999999999999994,0.8000000000000025,0.1999999999999975
2,0.1,0.05,2,100,0.05,0.5,24.1166,-1.1,0.0999999999999992,0.6000000000000023,0.3999999999999977
2,0.1,0.05,3,50,0.05,0.5,12.6397,1.0,2.6645352591003757e-15,-0.9999999999999991,8.881784197001252e-16
2,0.1,0.05,3,100,0.05,0.5,22.1387,-1.3,0.2999999999999994,-1.3999999999999995,0.39999999999999947
2,0.1,0.05,4,50,0.05,0.5,13.6867,-1.0,8.881784197001252e-16,-1.4999999999999996,0.49999999999999956
2,0.1,0.05,4,100,0.05,0.5,25.8798,-1.0,8.881784197001252e-16,-1.2999999999999994,0.2999999999999994
2,0.1,0.01,2,50,0.05,0.5,11.4147,-1.2,0.1999999999999993,0.30000000000000204,0.699999999999998
2,0.1,0.01,2,100,0.05,0.5,25.7747,-0.7,0.30000000000000115,-1.1999999999999993,0.1999999999999993
2,0.1,0.01,3,50,0.05,0.5,10.9717,0.7,0.2999999999999976,-1.4999999999999996,0.49999999999999956
2,0.1,0.01,3,100,0.05,0.5,23.2954,-1.5,0.49999999999999956,0.8000000000000025,0.1999999999999975
2,0.1,0.01,4,50,0.05,0.5,11.2439,1.1,0.10000000000000275,-1.3999999999999995,0.39999999999999947
2,0.1,0.01,4,100,0.05,0.5,27.3997,0.9,0.09999999999999742,0.40000000000000213,0.5999999999999979
3,0.5,0.5,2,50,0.05,0.5,75.7197,-1.0,8.881784197001252e-16,-1.5999999999999996,0.5999999999999996
3,0.5,0.5,2,100,0.05,0.5,151.6247,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.5,0.5,3,50,0.05,0.5,60.3076,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
3,0.5,0.5,3,100,0.05,0.5,131.4107,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.5,0.5,4,50,0.05,0.5,36.5006,0.9,0.09999999999999742,-1.1999999999999993,0.1999999999999993
3,0.5,0.5,4,100,0.05,0.5,82.3267,0.9,0.09999999999999742,-1.0999999999999992,0.0999999999999992
3,0.5,0.25,2,50,0.05,0.5,96.8977,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.5,0.25,2,100,0.05,0.5,169.4297,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
3,0.5,0.25,3,50,0.05,0.5,63.1737,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.5,0.25,3,100,0.05,0.5,128.1047,-1.0,8.881784197001252e-16,0.5000000000000022,0.4999999999999978
3,0.5,0.25,4,50,0.05,0.5,41.0696,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.5,0.25,4,100,0.05,0.5,105.4736,0.9,0.09999999999999742,0.8000000000000025,0.1999999999999975
3,0.5,0.1,2,50,0.05,0.5,69.1327,-1.1,0.0999999999999992,-1.0999999999999992,0.0999999999999992
3,0.5,0.1,2,100,0.05,0.5,156.8407,-1.1,0.0999999999999992,-1.0999999999999992,0.0999999999999992
3,0.5,0.1,3,50,0.05,0.5,56.2806,-1.0,8.881784197001252e-16,-1.4999999999999996,0.49999999999999956
3,0.5,0.1,3,100,0.05,0.5,133.2537,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
3,0.5,0.1,4,50,0.05,0.5,37.5406,-1.2,0.1999999999999993,-0.899999999999999,0.10000000000000098
3,0.5,0.1,4,100,0.05,0.5,105.7997,-1.1,0.0999999999999992,0.40000000000000213,0.5999999999999979
3,0.5,0.05,2,50,0.05,0.5,55.4331,-1.1,0.0999999999999992,-0.9999999999999991,8.881784197001252e-16
3,0.5,0.05,2,100,0.05,0.5,129.9843,-1.0,8.881784197001252e-16,-1.0999999999999992,0.0999999999999992
3,0.5,0.05,3,50,0.05,0.5,62.3857,-1.1,0.0999999999999992,-1.2999999999999994,0.2999999999999994
3,0.5,0.05,3,100,0.05,0.5,124.7636,-1.2,0.1999999999999993,-0.9999999999999991,8.881784197001252e-16
3,0.5,0.05,4,50,0.05,0.5,49.5818,-1.2,0.1999999999999993,-1.0999999999999992,0.0999999999999992
3,0.5,0.05,4,100,0.05,0.5,85.9756,-1.1,0.0999999999999992,-1.2999999999999994,0.2999999999999994
3,0.5,0.01,2,50,0.05,0.5,49.8807,-0.6,0.40000000000000124,0.40000000000000213,0.5999999999999979
3,0.5,0.01,2,100,0.05,0.5,116.8616,-1.0,8.881784197001252e-16,-0.3999999999999986,0.6000000000000014
3,0.5,0.01,3,50,0.05,0.5,51.3512,-1.3,0.2999999999999994,-0.9999999999999991,8.881784197001252e-16
3,0.5,0.01,3,100,0.05,0.5,109.9741,-1.2,0.1999999999999993,-0.899999999999999,0.10000000000000098
3,0.5,0.01,4,50,0.05,0.5,40.1576,-1.2,0.1999999999999993,0.30000000000000204,0.699999999999998
3,0.5,0.01,4,100,0.05,0.5,88.1721,-1.0,8.881784197001252e-16,-0.5999999999999988,0.40000000000000124
3,0.3,0.5,2,50,0.05,0.5,51.4873,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
3,0.3,0.5,2,100,0.05,0.5,98.9127,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.3,0.5,3,50,0.05,0.5,73.6507,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.3,0.5,3,100,0.05,0.5,117.7777,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.3,0.5,4,50,0.05,0.5,91.1426,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.3,0.5,4,100,0.05,0.5,181.0087,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.3,0.25,2,50,0.05,0.5,50.4667,-1.1,0.0999999999999992,-1.0999999999999992,0.0999999999999992
3,0.3,0.25,2,100,0.05,0.5,112.5816,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.3,0.25,3,50,0.05,0.5,71.7617,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
3,0.3,0.25,3,100,0.05,0.5,145.8857,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.3,0.25,4,50,0.05,0.5,88.9487,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.3,0.25,4,100,0.05,0.5,202.6626,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.3,0.1,2,50,0.05,0.5,51.0386,-1.2,0.1999999999999993,0.8000000000000025,0.1999999999999975
3,0.3,0.1,2,100,0.05,0.5,93.0306,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
3,0.3,0.1,3,50,0.05,0.5,68.8327,-0.9,0.10000000000000098,-1.0999999999999992,0.0999999999999992
